model,total_rejected,generated_candidates,feasible_candidates,model_approved_candidates,verified_candidates,robust_candidates,CFR,AFSR,CFSR,RVR,E2E_VR,mean_verification_margin,mean_l0_distance,mean_l1_distance,mean_l2_distance,immutable_violations,categorical_violations,domain_violations
LogisticRegression,60,60,4,60,4,0,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.06666666666666667,0.04824012247308232,29.0,1.0409521129182902,0.2249999999989595,0,10,0
RandomForest,36,36,3,16,1,0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.03242776666044345,2.0,0.545402166106306,0.42233332330087925,0,18,0
GradientBoosting,61,61,5,36,5,0,0.08196721311475409,0.08196721311475409,0.08196721311475409,1.0,0.08196721311475409,0.10105974996388492,1.2,0.18956210062846923,0.18,0,19,0
MLP_DNN,65,65,3,65,3,0,0.046153846153846156,0.046153846153846156,0.046153846153846156,1.0,0.046153846153846156,0.030145186647190642,29.0,0.9283034799287161,0.19995845413247945,0,17,0
