dataset,model,threshold,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,brier_score,ece,tp,fp,tn,fn
german_credit,LogisticRegression,0.5,0.724,0.7789473684210526,0.8457142857142858,0.810958904109589,0.7748571428571429,0.6428571428571429,0.17394047611391714,0.0773998257398792,148,42,33,27
german_credit,RandomForest,0.5,0.764,0.7710280373831776,0.9428571428571428,0.8483290488431876,0.7935238095238095,0.6447619047619048,0.16693007361070636,0.060866207430174346,165,49,26,10
german_credit,GradientBoosting,0.5,0.752,0.798941798941799,0.8628571428571429,0.8296703296703297,0.7846095238095238,0.6780952380952381,0.17005370499635228,0.08880648253525485,151,38,37,24
german_credit,MLP_DNN,0.5,0.728,0.7891891891891892,0.8342857142857143,0.8111111111111111,0.8054857142857142,0.6571428571428571,0.1632393652102025,0.07677483881570263,146,39,36,29
