model,generator,status,total_rejected,generated_candidates,feasible_candidates,model_approved_candidates,verified_candidates,robust_candidates,CFR,AFSR,CFSR,RVR,E2E_VR,mean_verification_margin,mean_l0_distance,mean_l1_distance,mean_l2_distance,immutable_violations,categorical_violations,domain_violations,mean_changed_features
RandomForest,Local_Unconstrained,EXECUTED,36,36,3,16.0,1,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.03242776666044345,2.0,0.545402166106306,0.42233332330087925,0.0,18.0,0.0,
RandomForest,Constraint_Aware_VLoan,EXECUTED,36,36,1,17.0,0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,N/A,N/A,N/A,N/A,0.0,33.0,0.0,
RandomForest,DiCE_Unconstrained,EXECUTED,36,5,0,,0,,,,0.0,N/A,0.0,N/A,,,N/A,,,,N/A
RandomForest,CARE_Causal,NOT EXECUTED,36,NOT EXECUTED,NOT EXECUTED,,NOT EXECUTED,,,,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,,,NOT EXECUTED,,,,NOT EXECUTED
