applicant_id,generator,is_feasible,is_verified,l0_features_changed,l1_distance,l2_distance,verification_margin,cf_prob,immutable_violation,categorical_violation,boundary_violation
210,Unconstrained_Gradient,False,False,0,5.551115123125783e-17,5.551115123125783e-17,,0.46583133183034675,False,False,False
210,Constraint_Aware_VLoan,False,False,1,0.10000000000000003,0.10000000000000003,,0.4736767424583661,False,True,False
222,Unconstrained_Gradient,False,False,1,0.30000000000000004,0.30000000000000004,,0.4815701494732081,False,True,False
222,Constraint_Aware_VLoan,False,False,0,0.0,0.0,,0.4768131409414812,False,False,False
228,Unconstrained_Gradient,False,False,2,0.09716997502941283,0.09144367908573052,,0.3663360044986307,False,True,False
228,Constraint_Aware_VLoan,False,False,36,1.0036578041946398,0.18185575100709417,,0.3663360044986307,False,True,False
231,Unconstrained_Gradient,False,False,0,0.0,0.0,,0.38383187840687183,False,False,False
231,Constraint_Aware_VLoan,False,False,1,0.10000000000000009,0.10000000000000009,,0.397255971728411,False,True,False
235,Unconstrained_Gradient,False,False,1,0.1499999999999999,0.1499999999999999,,0.5035152545866413,False,True,False
235,Constraint_Aware_VLoan,False,False,1,0.050000000000000044,0.050000000000000044,,0.5046819212533079,False,True,False
237,Unconstrained_Gradient,False,False,2,0.3469488899015346,0.2504410520582565,,0.5227843835910895,False,True,False
237,Constraint_Aware_VLoan,False,False,2,0.2688444092139268,0.1911863625640973,,0.5227843835910895,False,True,False
